A (id),B (nombre),C (precio),D (categoria),E (descripcion),F (imagen)
90,Churrasco Argentino,43.900,Especiales Grille,"Acompañado de Queso grille Chorizo Ranchero, Ensalada de la casa. Yuca frita y Chimichurri",assets/imagenes/Especiales Grille/img92.jpg
92,Filet Mignon,45.900,Especiales Grille,Tierno de lomo fino de res bañada en salsa demi-glace. Acompañado de papa francesa. ensalada de la casa,assets/imagenes/Especiales Grille/img86.jpg
3,Mini Trucha,22.900,A La Marinera,Pidelo Con ensalada de la casa o Vegetales al Wok,assets/imagenes/A La Marinera/img8.jpg
2,Filete de Merlusa,23.900,A La Marinera,Pidelo Con ensalada de la casa o Vegetales al Wok,assets/imagenes/A La Marinera/img9.jpg
1,Bagre en Salsa Criolla,33.900,A La Marinera,"Acompañado de Arroz, Ensalada de la casa, patacon y yuca frita",assets/imagenes/A La Marinera/img13.jpg
5,Trucha al ajillo,33.900,A La Marinera,O tambien Pidelo en salsa de champiñones Acompañado de Ensalada de la casa o papa fracesa,assets/imagenes/A La Marinera/img12.jpg
4,Salmon,42.900,A La Marinera,"Pidelo en salsa de Maracuya o al Ajillo, Acompañado de ensalada de la casa, con pure de papa o papa a la francesa",assets/imagenes/A La Marinera/img139.jpg
86,Pasta Alfredo,19.900,Pastas De La Casa,Con jamón y Maiz Tierno ACOMPAÑADO de Pan de Ajo,assets/imagenes/Pastas De La Casa/img131.jpg
87,Pasta Carbonara,21.900,Pastas De La Casa,Con tocineta y champiñones ACOMPAÑADO de Pan de Ajo,assets/imagenes/Pastas De La Casa/img133.jpg
85,Pasta a la Marinera,29.900,Pastas De La Casa,ACOMPAÑADO de Pan de Ajo,assets/imagenes/Pastas De La Casa/img120.jpg
88,Pasta de la Casa,34.900,Pastas De La Casa,Con cubos de Salmón y Langostinos,assets/imagenes/Pastas De La Casa/img123.jpg
54,Especial Jakimeshi Pollo,21.900,Especiales Wok,Mezcla de Pollo o lomo de res con arroz frito y vegetales,assets/imagenes/Especiales Wok/img151.jpg
53,Especial Jakimeshi Lomo,22.900,Especiales Wok,Mezcla de Pollo o lomo de res con arroz frito y vegetales,assets/imagenes/Especiales Wok/img152.jpg
55,Menu Infantil,23.900,Especiales Wok,Trozos de Pollo en salsa teriyaki Acompañado de arroz yakimeshi o pastas. Incluye Jugo y Helado NOTA: Este menu es solo para niños.,assets/imagenes/Especiales Wok/img194.jpg
50,Beef Teriyaki,24.900,Especiales Wok,Lomo de res en salsa teriyaki Acompañado de Vegetales a la Plancha,assets/imagenes/Especiales Wok/img157.jpg
51,Chiken Noodles,24.900,Especiales Wok,"Pasta Ramel al wok con 200gr de pollo ACOMPAÑADO Champiñones, maiz tierno y Brocoli, Bañado en salsa teriyaki",assets/imagenes/Especiales Wok/img161.jpg
52,Chiken Teriyaki,24.900,Especiales Wok,Pechuga de Pollo en salsa teriyaki ACOMPAÑADO de vegetales al wok,assets/imagenes/Especiales Wok/img145.jpg
56,Teppanyaki Conection,28.900,Especiales Wok,"Lomo de res y pechuga a la plancha, marinados en salsa teriyaki, acompañado de vegetales a la planchay arroz yakimechi",assets/imagenes/Especiales Wok/img170.jpg
59,Tokio Mignon,28.900,Especiales Wok,"200gr de Lomo con tocineta (libre de Grasa), Acompañado de Champiñones y arroz yakimeshi",assets/imagenes/Especiales Wok/img148.jpg
58,Teriyaki Mixto,33.900,Especiales Wok,"Langostinos, lomo de res, camarones, trozos de pollo. marinados en salsa teriyaki ACOMPAÑADO de vegetales a la plancha y Arroz Yakimeshi",assets/imagenes/Especiales Wok/img164.jpg
57,Teppanyaki de Camarones,34.900,Especiales Wok,Vegetales al wok con camarones salteados,assets/imagenes/Especiales Wok/img167.jpg
6,Teriyaki Clásico,64.900,Combos Teriyaki,"5 porciones con Lomo de res. trozos de pechuga y cerdo, con vegetales al wok y arroz yakimeshi",assets/imagenes/Combos Teriyaki/img223.jpg
8,Teriyaki Familiar,71.900,Combos Teriyaki,"5 porciones con Lomo de res, trozos de pechuga y cerdo con vegetales al wok y arroz yakimeshi Acompañado de Papa a la Francesa y Gaseosa",assets/imagenes/Combos Teriyaki/img211.jpg
7,Teriyaki Especial,79.900,Combos Teriyaki,5 porciones con Camarones. Lomo de res. Trozos de pechuga y cerdo Acompañado de Papas a la Francesa,assets/imagenes/Combos Teriyaki/img214.jpg
10,Crepes de Dulce,16.900,Crepes,"Fresas, banano, trozos de durazno crema de leche y Helado",assets/imagenes/Crepes/img188.jpg
9,Champiñon y Pollo,16.900,Crepes,"Trozos de Pollo, bañado en salsa de champiñon con queso mozarella",assets/imagenes/Crepes/img185.jpg
